Company,Store Type,Address,City,State,Zip Code,PhoneNumber,Latitude,Longitude
Target,City,"8480 Beverly Blvd Ste 1A, Los Angeles, CA 90048-3414",Los Angeles,CA,90048-3414,(323) 602-0647,33.960670402893001,-118.419686684309
Target,City,"735 S Figueroa St, Los Angeles, CA 90017",Los Angeles,CA,90017,(213) 330-4553,34.0462781112033,-118.261954934461
Target,City,"10861 Weyburn Ave, Los Angeles, CA 90024-2957",Los Angeles,CA,90024-2957,(310) 893-2370,34.065309999999997,-118.43503
Target,City,"789 Mission St, San Francisco, CA 94103-3132",San Francisco,CA,94103-3132,(415) 343-6282,37.773110000000003,-122.41127
Target,City,"2675 Geary Blvd, San Francisco, CA 94118-3400",San Francisco,CA,94118-3400,(415) 796-5290,37.780650000000001,-122.46205999999999
Target,City,"1 S State St, Chicago, IL 60603",Chicago,IL,60603,(312) 279-2133,41.879829999999998,-87.623530000000002
Target,City,"1341 BOYLSTON ST, Boston, MA 02215-3936",Boston,MA,02215-3936,(857) 317-5230,42.347569999999997,-71.102010000000007
Target,City,"939 SW Morrison, Portland, OR 97205",Portland,OR,97205,(503) 290-5371,45.517679999999999,-122.70234000000001
Target,City,"1401 2nd Ave, Seattle, WA 98101-2007",Seattle,WA,98101-2007,(206) 494-3255,47.608701661476502,-122.338598643522
Walmart,FedEx Pickup Location,249 S CALIFORNIA AVE,Palo Alto,CA,94306,(650) 328-3381,37.42785263,-122.14311981
Walmart,FedEx Pickup Location,1194 El Camino Real,Menlo Park,CA,94025,(650) 321-4202,37.45428085,-122.18415856
Walmart,FedEx Pickup Location,13585 E Whittier Blvd,Whittier,CA,90605,(562) 945-0280,33.93912887,-117.94420623
Walmart,FedEx Pickup Location,5600 J St,Sacramento,CA,95819,(916) 731-4012,38.56425857,-121.43447113
Walmart,FedEx Pickup Location,313 F St,Davis,CA,95616,(530) 758-0310,38.54502487,-121.74079132
Walmart,FedEx Pickup Location,5112 MADISON AVE,Sacramento,CA,95841,(916) 339-1100,38.66031265,-121.34555816
Walmart,FedEx Pickup Location,455 Grass Valley Hwy,Auburn,CA,95603,(530) 887-8800,38.9063926,-121.0767053
Walmart,FedEx Pickup Location,1927 Douglas Blvd,Roseville,CA,95661,(916) 773-1150,38.74472427,-121.25368499
Walmart,FedEx Pickup Location,1200 J St,Sacramento,CA,95814,(916) 444-2843,38.57953324,-121.49063184
Walmart,FedEx Pickup Location,3161 Zinfandel Dr,Rancho Cordova,CA,95670,(916) 858-1800,38.58554077,-121.28463745
Walmart,FedEx Pickup Location,622 Contra Costa Blvd,Pleasant Hill,CA,94523,(925) 827-4293,37.97347259,-122.06468963
Walmart,FedEx Pickup Location,620 Hacienda Dr,Vista,CA,92083,(760) 940-5203,33.19354958,-117.25460641
Walmart,FedEx Pickup Location,300 Lakeside Dr,Oakland,CA,94612,(510) 893-8222,37.80893707,-122.26469421
Walmart,FedEx Pickup Location,1061 W March Ln,Stockton,CA,95207,(209) 957-1204,37.98999175,-121.31850644
Walmart,FedEx Pickup Location,3070 E 9th St,Oakland,CA,94601,(510) 533-3808,37.77381576,-122.22892262
Walmart,FedEx Pickup Location,4360 E MAIN ST,Ventura,CA,93003,(805) 339-2000,34.2618103,-119.23329925
Walmart,FedEx Pickup Location,4512 Las Positas Rd,Livermore,CA,94550,(925) 961-1222,37.69978009,-121.74484826
Walmart,FedEx Pickup Location,8471 Beverly Blvd Ste 103-104,Los Angeles,CA,90048,(323) 782-6905,34.07632827,-118.37570953
Walmart,FedEx Pickup Location,303 2nd St,San Francisco,CA,94107,(415) 495-8880,37.78529357,-122.39556884
Walmart,FedEx Pickup Location,702 Lincoln Ave,Napa,CA,94558,(707) 226-7722,38.31058502,-122.28559112
Walmart,FedEx Pickup Location,467 N Azusa Ave,West Covina,CA,91791,(626) 966-4850,34.07840363,-117.90785439
Walmart,FedEx Pickup Location,720 Admiral Callaghan Ln,Vallejo,CA,94591,(707) 644-4990,38.12504959,-122.22709655
Walmart,FedEx Pickup Location,1510 Oliver Rd,Fairfield,CA,94534,(707) 421-8200,38.25887298,-122.06800842
Walmart,FedEx Pickup Location,650 4th ST,Santa Rosa,CA,95404,(707) 523-0922,38.44086074,-122.71240234
Walmart,FedEx Pickup Location,12101 Ventura Blvd,Studio City,CA,91604,(818) 980-2679,34.14383316,-118.39572143
Walmart,FedEx Pickup Location,7400 Laguna Blvd,Elk Grove,CA,95758,(916) 683-4500,38.42332608,-121.41770459
Walmart,FedEx Pickup Location,11542 Knott St,Garden Grove,CA,92841,(714) 892-2285,33.79419326,-118.00987243
Walmart,FedEx Pickup Location,135 N Los Robles Ave,Pasadena,CA,91101,(626) 356-0483,34.14818572,-118.14177703
Walmart,FedEx Pickup Location,9889 San Pablo Ave,El Cerrito,CA,94530,(510) 528-5071,37.8986206,-122.30202484
Walmart,FedEx Pickup Location,925 Wilshire Blvd,Santa Monica,CA,90401,(310) 394-2947,34.02368927,-118.49313354
Walmart,FedEx Pickup Location,2801 Townsgate Rd,Westlake Village,CA,91361,(805) 495-0521,34.15434199,-118.823875
Walmart,FedEx Pickup Location,9851 Flair Dr,El Monte,CA,91731,(626) 575-1986,34.07191848,-118.05398559
Walmart,FedEx Pickup Location,3303 Harbor Blvd,Costa Mesa,CA,92626,(714) 557-8380,33.69251599,-117.920989
Walmart,FedEx Pickup Location,3100 Folsom Blvd,Sacramento,CA,95816,(916) 456-1423,38.56899261,-121.46653747
Walmart,FedEx Pickup Location,13911 Carroll Way,Tustin,CA,92780,(714) 731-8720,33.76141414,-117.82928645
Walmart,FedEx Pickup Location,17801 Main St,Irvine,CA,92614,(949) 250-9174,33.68704721,-117.85935804
Walmart,FedEx Pickup Location,3345 WILSHIRE BLVD,Los Angeles,CA,90010,(213) 384-4129,34.06181082,-118.29619802
Walmart,FedEx Pickup Location,700 N Johnson Ave,El Cajon,CA,92020,(619) 441-0429,32.80444335,-116.97164154
Walmart,FedEx Pickup Location,15720 Ventura Blvd,Encino,CA,91436,(818) 783-2680,34.15518656,-118.47535349
Walmart,FedEx Pickup Location,25020 Avenue Stanford,Valencia,CA,91355,(661) 257-3598,34.43751144,-118.57308959
Walmart,FedEx Pickup Location,21023 Hawthorne Blvd,Torrance,CA,90503,(310) 316-8455,33.83889041,-118.35389703
Walmart,FedEx Pickup Location,5601 Lone Tree Way,Brentwood,CA,94513,(925) 240-1447,37.96103286,-121.74549865
Walmart,FedEx Pickup Location,9333 Genesee Ave,San Diego,CA,92121,(858) 452-5924,32.87565685,-117.21389852
Walmart,FedEx Pickup Location,411 Encinitas Blvd,Encinitas,CA,92024,(760) 634-4500,33.04737472,-117.28350067
Walmart,FedEx Pickup Location,130 W Center Street Promenade,Anaheim,CA,92805,(714) 780-0324,33.83416838,-117.91415356
Walmart,FedEx Pickup Location,141 N Twin Oaks Valley Rd,San Marcos,CA,92069,(760) 736-9237,33.13982024,-117.16363862
Walmart,FedEx Pickup Location,9343 Mission Gorge Rd,Santee,CA,92071,(619) 258-5608,32.83856526,-116.99426651
Walmart,FedEx Pickup Location,439 Rohnert Park Expy W,Rohnert Park,CA,94928,(707) 584-4471,38.34877341,-122.72003173
Walmart,FedEx Pickup Location,3898 Mowry Ave,Fremont,CA,94538,(510) 742-0300,37.54953749,-121.98751978
Walmart,FedEx Pickup Location,100 California St,San Francisco,CA,94111,(415) 834-0240,37.79394899,-122.39806299
Walmart,FedEx Pickup Location,1967 MARKET ST,San Francisco,CA,94103,(415) 252-0864,37.76947326,-122.42625944
Walmart,FedEx Pickup Location,1597 Sloat Blvd,San Francisco,CA,94132,(415) 566-0572,37.73389309,-122.49094896
Walmart,FedEx Pickup Location,490 El Camino Real,Redwood City,CA,94062,(650) 364-0424,37.49032199,-122.240425
Walmart,FedEx Pickup Location,400 Howard St 110,San Francisco,CA,94105,(415) 512-7766,37.78911972,-122.39588165
